"id","room","floor","bath_screen","room_model","left_desk","right_desk","to_be_renovated","description","room_model_id","bed"
270,3010,30,YES,A LO,NO,YES,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",3,Double/Double
271,3012,30,YES,A COL,NO,YES,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
272,3014,30,YES,A,NO,YES,NO,"Double, Long desk, w screen, custom ceiling and closet wall covering",1,Double/Double
273,3016,30,YES,A COL,NO,YES,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
264,3017,30,YES,C+,YES,NO,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
274,3018,30,YES,C+,NO,YES,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
265,3019,30,NO,C PN,YES,NO,YES,"King, Long desk, no screen, custom ceiling and closet wall covering",6,King
266,3021,30,YES,C+,YES,NO,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
276,3022,30,YES,C+,NO,YES,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
267,3023,30,YES,A COL,YES,NO,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,KING
268,3025,30,NO,CURVA,YES,NO,YES,"King Executive suite, of screen, standard Oxen Desk, Curve sofa, custom ceiling and closet",9,Executive King
278,3026,30,NO,CURVA,NO,YES,YES,"King Executive suite, of screen, standard Oxen Desk, Curve sofa, custom ceiling and closet",9,Executive King
279,3107,31,YES,B,YES,NO,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",5,King
289,3108,31,YES,B,NO,YES,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",5,King
290,3110,31,YES,A LO,NO,YES,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",3,Double/Double
281,3111,31,YES,A COL,YES,NO,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
291,3112,31,YES,A COL,NO,YES,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
282,3113,31,YES,A,YES,NO,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",1,Double/Double
283,3115,31,YES,A COL,YES,NO,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
285,3119,31,NO,C PN,YES,NO,YES,"King, Long desk, no screen, custom ceiling and closet wall covering",6,KING
287,3123,31,YES,A COL,YES,NO,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
288,3125,31,NO,CURVA,YES,NO,YES,"King Executive suite, of screen, standard Oxen Desk, Curve sofa, custom ceiling and closet",9,Executive King
294,3118,31,YES,C+,NO,YES,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
295,3120,31,NO,C PN,NO,YES,YES,"King, Long desk, no screen, custom ceiling and closet wall covering",6,King
296,3122,31,YES,C+,NO,YES,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
298,3126,31,NO,CURVA,NO,YES,YES,"King Executive suite, of screen, standard Oxen Desk, Curve sofa, custom ceiling and closet",9,Executive King
299,3207,32,YES,B,YES,NO,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",5,Executive King
309,3208,32,YES,B,NO,YES,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",5,King
300,3209,32,YES,A LO,YES,NO,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",3,Double/Double
310,3210,32,YES,A LO,NO,YES,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",3,Double/Double
311,3212,32,YES,A COL,NO,YES,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
302,3213,32,YES,A,YES,NO,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",1,Double/Double
312,3214,32,YES,A,NO,YES,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",1,Double/Double
303,3215,32,YES,A COL,YES,NO,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
313,3216,32,YES,A COL,NO,YES,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
304,3217,32,YES,C+,YES,NO,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
305,3219,32,NO,C PN,YES,NO,YES,"King, Long desk, no screen, custom ceiling and closet wall covering",6,King
306,3221,32,YES,C+,YES,NO,NO,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
316,3222,32,YES,C+,NO,YES,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
307,3223,32,YES,A COL,YES,NO,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
317,3224,32,YES,A COL,NO,YES,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
308,3225,32,NO,CURVA,YES,NO,YES,"King Executive suite, of screen, standard Oxen Desk, Curve sofa, custom ceiling and closet",9,Executive King
319,3307,33,YES,B,YES,NO,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",5,King
329,3308,33,YES,B,NO,YES,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",5,King
320,3309,33,YES,A LO,YES,NO,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",3,Double/Double
330,3310,33,YES,A LO,NO,YES,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",3,Double/Double
321,3311,33,YES,A COL,YES,NO,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
322,3313,33,YES,A,YES,NO,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",1,Double/Double
323,3315,33,YES,A COL,YES,NO,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
326,3321,33,YES,C+,YES,NO,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
349,3408,34,YES,B,NO,YES,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",5,KING
350,3410,34,YES,A LO,NO,YES,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",3,Double/Double
351,3412,34,YES,A COL,NO,YES,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
352,3414,34,YES,A,NO,YES,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",1,Double/Double
343,3415,34,YES,A COL,YES,NO,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
353,3416,34,YES,A COL,NO,YES,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
344,3417,34,YES,C+,YES,NO,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
354,3418,34,YES,C+,NO,YES,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
356,3422,34,YES,C+,NO,YES,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
